year,Australia,Austria,Belgium,Bulgaria,Canada,Croatia,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russia,Slovak Republic,Slovenia,South Africa,Spain,Sweden,Switzerland,United Kingdom,United States
2012,0.0207291746431829,0.013240395487931,0.0324532002837126,4.969872265571108e-05,,0.0213942461188109,0.0032075800524947,0.0266146482789424,0.0442884125358119,0.0404545159864903,0.0173230567523953,0.0206576669825694,0.0,0.0399622041962246,0.0462456444755173,0.329758873419909,0.0061868205558459,0.0202813700890195,0.0454118270526471,0.0090028935466392,0.0141483424011032,0.0251366766560042,0.0239188538515768,0.0123013650346195,0.023732197812862,0.0025559430455527,0.0069456074678783,0.0032387028310423,0.0142523408478641,0.0,0.0041743685781345,0.024899162128165,0.0200867211709515,0.0521145196882354,0.0205815427273757,0.0382053806889077,0.2440994122642038
2013,0.0163106036429872,0.0197986680434523,0.028180267870096,0.0083342235835155,0.0857367633701414,0.014486010271149,0.0027679116765162,0.0234008907041951,0.0275889277072569,0.0586592679146944,0.0231311133666091,0.024124977061819,0.0078297821219764,0.0276982106998425,0.0621872970250446,0.3007033215504109,0.0048159447940847,0.0353316167626563,0.044292003339151,0.007044026250496,0.0290101284020674,0.013732702308387,0.0311298412847262,0.0235357783245086,0.0170426342515414,0.0042251734910248,0.0166790577735877,0.0020888061630036,0.007630127755914,6.698581322127366e-05,0.0124429866508328,0.0401796037601191,0.0156545719772579,0.0541823359368188,0.0280321911421032,0.0315674398659608,0.2378209063360174
2014,0.018089425580966,0.0179496908771224,0.0316499722262035,0.0051479836148768,0.0907258378121208,0.0015601365207443,0.0046618497019234,0.0256121223305217,0.0506429956121373,0.0577787906610532,0.0186434934005399,0.0225787666571956,0.0063007007470214,0.0428150301517904,0.0458048251324459,0.8280180813111211,0.0032031370074952,0.022168977971201,0.0556245624005788,0.0285715036742889,0.0227656430744832,0.008283124761433,0.0259292555826609,0.0229803637957555,0.0226220386067676,0.0058642267403478,0.0211582343741214,0.003527091351914,0.0071871084086336,0.008960023369263,0.0098332923314822,0.0632143223762104,0.0285743803391915,0.0650645388687423,0.0273816468897368,0.0390907290210088,0.3228847130303897
2015,0.0230708088005663,0.034288405215075,0.0231686778007466,0.0185495059521283,0.1036355675173661,0.0021755371596837,0.0029138635593018,0.0275768988236243,0.0268344245635771,0.0520500306428023,0.0255899596922495,0.0300742102755187,0.0194318435150011,0.0441749024257299,0.0336438204748142,1.0962923356086802,0.004549720126874,0.0244686004824942,0.0706581432648426,0.0312821249821431,0.018443745798357,0.0108912062959659,0.0252644846654854,0.0213340640413366,0.0155478114932328,0.0073909380747442,0.0249906032510397,0.0011436671269258,0.0104145158843036,0.0152233916964013,0.009055514942169,0.025447927217245,0.0399926605192665,0.0387776234311393,0.0462448027567199,0.0503862704602578,0.3434995611031177
2016,0.012636758877614,0.0152367222793415,0.0392412648026976,0.0114868510106005,0.1495398132673323,0.0086874175883633,0.0044214252963732,0.0349257347634203,0.0290327721326859,0.058383200896657,0.0266081104392233,0.0428738854198838,0.004702611249583,0.0447911879253941,0.0726833748692146,1.2129664887306264,0.0045272884037842,0.0267640051462558,0.0767310196153181,0.0326132468766838,0.0064462522767579,0.0005249602223964,0.0317165757008659,0.0350675566164219,0.0284876186665127,0.0186347159416835,0.0103879290236087,0.0011111938771566,0.0098685284645079,0.0162570867692381,0.0088462405794483,0.0400562757094318,0.0385890037912717,0.0450464984650319,0.0512142267254482,0.036377756848816,0.3307373466700442
2017,0.0250415239760222,0.0268602283872897,0.0473673453181131,0.0080074524185893,0.1682563932755459,0.00528226079758,0.0031140222606249,0.0348193985943224,0.0165587277889304,0.0667897340109233,0.0398725654912873,0.0411752170590484,0.0048471275161155,0.0394790176145328,0.0422038226443274,1.3821800794667298,0.0050366553393003,0.0333204157006118,0.0746393701405116,0.0042528906258854,0.008527825547753,0.0234368660231021,0.0458858016765294,0.075021154698558,0.0221035471243988,0.0097691395443831,0.0123623890152872,0.0013439152201951,0.0078770240525573,0.0041382823463764,0.0053529253110983,0.1825020234384017,0.0469815378936938,0.0480561747501602,0.0465999762284925,0.0859856668500256,0.3634803690268586
2018,0.0293578356259762,0.0218520826747178,0.0665928900047815,0.0073403795056561,0.159582276156688,0.0015320769229567,0.0059108002480267,0.1015789354660768,0.118410397278912,0.0944509558879505,0.0473883062171177,0.0430025068201711,0.0170226549121202,0.0502818766638417,0.1080869004532676,1.6220994438909595,0.0095067322064304,0.0443465602868861,0.1083471663444945,0.0118138303320158,0.0074553503196159,0.017971100838903,0.0519566019161138,0.0882355826727273,0.0206468919665481,0.0066180294957488,0.0122731164991404,0.0006471547009682,0.0093524034749979,0.0045859550920886,0.0006598854546334,0.0559368539886917,0.0423746315398164,0.084839002776434,0.0669119544564856,0.0889489744403708,0.5749831440643862
2019,0.0352437349134911,0.0173625813299164,0.0905546244364411,0.0052096252570117,0.2235083762390512,0.0073508095383881,0.0127130051736305,0.1004269879211445,0.0920299654373489,0.1110658940332806,0.0655244313422679,0.059318091389755,0.0134841538689391,0.0962201381792263,0.0407039285767985,2.2233933100218226,0.0106986010366332,0.0477058187812211,0.1546755276146755,0.0182128717833799,0.0094676738073182,0.0233679611339075,0.0621733279711463,0.0346893724377166,0.035327434105235,0.0186540792309903,0.0218280165815244,0.0097514487101099,0.0077631947710931,0.0211733713974653,0.0021284789762194,0.1244398750659392,0.0449144936350009,0.069021632432291,0.0692710955904054,0.1175403613770125,0.5445845763062959
2020,,0.024380063319385,0.0928626528850795,0.0123115373323941,0.1802206964443903,0.0229024636245552,0.0080184403688243,0.0825772618995661,0.1020158497227143,0.1841542506577705,0.0628953031991506,0.05382697070785,0.0116077688154984,0.0935460833803434,0.0651667305882695,3.1423697634609535,0.0206940249234786,0.0399765807633515,0.1480373860836984,0.0145265897720716,0.0260234998855374,0.0551712071737042,0.0906429069601385,0.0386686082872894,0.0336880909954138,0.0260979041675353,0.0199856684322966,0.0045783081251698,,0.0212058272913652,0.0066990096809054,0.0323580361148523,0.0653401850722397,0.1168079090364208,0.079863191820281,0.1145237486339592,0.6047419017035173
2021,,0.1736185301968839,0.0769316892750526,0.0250129149246197,0.4534653338372211,0.0613108115664608,0.0452099190010729,0.2479580939019288,0.4718572932599007,0.1504873814172159,0.1022773467666621,0.1118639322983296,0.0357540394974531,0.0869318942072532,0.0474477073576417,5.686543534171777,0.0236842093240618,0.0580052471470262,0.2403874607318954,0.0346509309994988,0.080360579971396,0.038452248916907,0.144974068566408,0.1058743835841758,0.046540613275449,0.0208410246990115,0.0219376314718347,0.0060500539253292,,0.020502186959734,0.0017719729630906,0.0096667515339287,0.1155344157891474,0.1867593549299417,0.0913903245708341,0.2084609919687938,1.1258546128275744
2022,,0.0402263633005209,0.0671537245443971,0.0137491746544996,0.3290868669878912,0.0223344502215615,0.0254376866795657,0.0873745066689855,0.4176777333761664,0.1262683266451797,0.1177976046995546,0.083901439596713,0.0310956989375062,0.0498253171575675,0.0770833481346602,2.909210246508573,0.035016072104983,0.0550691861162763,0.2037842198153207,0.0201890673495991,0.1061533189783681,0.2784380338534636,0.1022492557382808,0.0810444375065678,0.0233761211946324,0.0347639293074596,0.0262146065364146,0.0117161155567447,,0.0162923241632451,0.0133610810355154,0.0165002121219333,0.0650765405404868,0.1664556193758892,0.1032581183313611,0.1186302462571918,0.7344288675333264
2023,,0.0206591332349315,0.0561838961698042,0.0259224466165776,0.2257210916675219,0.0057503485131683,0.0189058948545925,0.1486643579710841,0.1248665076684764,0.0675201295563044,0.0781737192376695,0.0563917589858422,0.0096842999807386,0.025640580771497,0.0492241274496958,1.5325898360607075,0.029995964004721,0.0433418339609155,0.139453546358901,0.0063993930167694,0.0395026438673752,0.040046376091648,0.1128517481157478,0.0920751645656382,0.051979809789975,0.0104094560539237,0.014372614792628,0.0059166079596147,,0.0132143370759872,0.000780640020879,0.021313858903485,0.0497498171449153,0.0709667286475449,0.0850131541440618,0.1132885637987657,0.4734740605415702
2024,,0.029840055178611,0.0837752892323399,0.0268996341799383,0.2005782590143498,0.0171700833825321,0.0069224686456653,0.1402400383311361,0.2017805558813021,0.1049044717740422,0.0893363155715838,0.0666310459041974,0.0118216095094128,0.0148489123596632,0.0577500609716993,1.8062659236563343,0.031260319885901,0.0558791345681888,0.1398278996709009,0.0045188074940294,0.0273557479610506,0.0199523602473118,0.1185682576960407,0.1359952233148491,0.0471322677849957,0.0116859963711033,0.0263099122153372,0.0037770653811586,,0.0205518082884517,0.0078969912203685,0.0068004547482066,0.0587294974105284,0.1134432958841906,0.1289736196892694,0.1769758615870819,0.5327001640379906
2025,,0.0186528039054877,0.0461390872567332,0.0227662948852764,0.1845265025252416,0.0090615652025097,0.0098691874744165,0.1298875556925756,0.339913944428955,0.1035762909358278,0.0780565145932981,0.0547765340273421,0.0047444426280769,0.0143346229255322,0.0569673575850923,,0.0492469005652991,,0.1404025205173103,0.0165968680638195,0.0650691707607624,0.0198365668938527,0.0997999926990428,0.1527338698652546,0.0362414632787686,0.0337075471187954,0.0480495481040151,0.0075402540517174,,0.0008994231917113,0.0253851146242891,,0.0893691853072519,0.2056117364944797,0.1670127860235093,0.1624443094437233,0.624376405368287
